AP Mac,Model,Street,Street2,City,State,Zip Code,Latitude,Longitude,Region,Zone,Zone Type,SiteID
68:EE:96:E1:FB:BF,DPC3939B,1026 PINE ST,APT 9 OFC HOME,Philadelphia,PA,19107,39.94457,-75.1592,Freedom,South St Zone 1,Secondary,N/A
68:EE:96:E2:3F:BC,DPC3939B,1639 N HANCOCK ST,APT 403,Philadelphia,PA,19122,39.975536,-75.13696,Freedom,Fishtown,Secondary,N/A
68:EE:96:E5:A8:2D,DPC3939B,301 S 8TH ST,FL 4,Philadelphia,PA,19106,39.94523,-75.15487,Freedom,South St Zone 1,Secondary,N/A
68:EE:96:E7:80:2B,DPC3939B,1214 SOUTH ST,UNIT STORE,Philadelphia,PA,19147,39.94309,-75.16233,Freedom,South St Zone 1,Secondary,N/A
68:EE:96:E7:CE:7D,DPC3939B,2400 STREET RD,UNIT 29,New Hope,PA,18938,40.347054,-75.02953,Freedom,Peddlers Village,Primary,N/A
68:EE:96:E7:D9:E5,DPC3939B,37 PEDDLERS VLG,STE 37,Lahaska,PA,18931,40.347893,-75.03133,Freedom,Peddlers Village,Primary,N/A
68:EE:96:E8:A8:66,DPC3939B,5 W GIRARD AVE,,Philadelphia,PA,19123,39.96897,-75.13473,Freedom,Fishtown,Primary,N/A
68:EE:96:E8:DA:D9,DPC3939B,8518 GERMANTOWN AVE,OFC,Philadelphia,PA,19118,40.07614,-75.20716,Freedom,Chestnut Hill,Primary,N/A
68:EE:96:E8:DC:23,DPC3939B,23 W HIGHLAND AVE,,Philadelphia,PA,19118,40.075603,-75.20721,Freedom,Chestnut Hill,Secondary,N/A
68:EE:96:EA:5A:0D,DPC3939B,818 S 9TH ST,FRNT STOR,Philadelphia,PA,19147,39.939297,-75.15797,Freedom,South St Zone 1,Secondary,N/A
68:EE:96:EA:B6:0B,DPC3939B,2450 STREET RD,UNIT 22,New Hope,PA,18938,40.34798,-75.03141,Freedom,Peddlers Village,Primary,N/A
68:EE:96:EA:BC:CD,DPC3939B,301 S 8TH ST,STE 2C,Philadelphia,PA,19106,39.94523,-75.15487,Freedom,South St Zone 1,Secondary,N/A
68:EE:96:EA:D1:36,DPC3939B,5860 YORK RD,UNIT 4,Lahaska,PA,18931,40.346275,-75.03576,Freedom,Peddlers Village,Primary,N/A
68:EE:96:EA:D8:52,DPC3939B,1542 E MONTGOMERY AVE,,Philadelphia,PA,19125,39.97648,-75.13092,Freedom,Fishtown,Secondary,N/A
68:EE:96:EA:E4:3C,DPC3939B,1356 N FRONT ST,,Philadelphia,PA,19122,39.9718,-75.13554,Freedom,Fishtown,Secondary,N/A
68:EE:96:EA:EB:F3,DPC3939B,100 W OXFORD ST,STE 1100,Philadelphia,PA,19122,39.973774,-75.13522,Freedom,Fishtown,Secondary,N/A
68:EE:96:EB:5A:B1,DPC3939B,8201 GERMANTOWN AVE,,Philadelphia,PA,19118,40.07373,-75.2026,Freedom,Chestnut Hill,Primary,N/A
68:EE:96:EB:57:CD,DPC3939B,1310 FRANKFORD AVE,UNIT 1310-1312,Philadelphia,PA,19125,39.97056,-75.13473,Freedom,Fishtown,Primary,N/A
68:EE:96:EF:FD:1E,DPC3939B,760 S 11TH ST,,Philadelphia,PA,19147,39.940594,-75.16102,Freedom,South St Zone 1,Secondary,N/A
70:03:7E:76:FD:20,CGA4131COM,640 SOUTH ST,UNIT A,Philadelphia,PA,19147,39.941994,-75.15352,Freedom,South St Zone 1,Secondary,N/A
70:03:7E:77:2A:48,CGA4131COM,8605 GERMANTOWN AVE,,Philadelphia,PA,19118,40.07685,-75.20739,Freedom,Chestnut Hill,Primary,N/A
70:03:7E:79:92:38,CGA4131COM,1132 E COLUMBIA AVE,,Philadelphia,PA,19125,39.9698,-75.130486,Freedom,Fishtown,Secondary,N/A
70:03:7E:79:C5:DC,CGA4131COM,746 SOUTH ST,FRNT,Philadelphia,PA,19147,39.942253,-75.155396,Freedom,South St Zone 1,Secondary,N/A
74:54:7D:7E:8D:28,DPC3939B,1045 FRANKFORD AVE,PH 1,Philadelphia,PA,19125,39.96724,-75.13422,Freedom,Fishtown,Secondary,N/A
74:54:7D:7E:B2:5D,DPC3939B,148 W GIRARD AVE,FRNT STORE,Philadelphia,PA,19123,39.969032,-75.13804,Freedom,Fishtown,Secondary,N/A
74:54:7D:7F:BD:38,DPC3939B,1714 MEMPHIS ST,STE C1,Philadelphia,PA,19125,39.975113,-75.1306,Freedom,Fishtown,Secondary,N/A
74:54:7D:7F:DB:0B,DPC3939B,1546 FRANKFORD AVE,SPC BUS2,Philadelphia,PA,19125,39.974064,-75.13372,Freedom,Fishtown,Primary,N/A
74:54:7D:8C:30:F9,DPC3939B,1221 BAINBRIDGE ST,RM 107,Philadelphia,PA,19147,39.942646,-75.16273,Freedom,South St Zone 1,Secondary,N/A
74:54:7D:8C:50:5C,DPC3939B,8623 GERMANTOWN AVE,UNIT DUP,Philadelphia,PA,19118,40.077305,-75.20762,Freedom,Chestnut Hill,Primary,N/A
74:54:7D:8C:55:4D,DPC3939B,1048 SOUTH ST,FRNT OFFICE,Philadelphia,PA,19147,39.94284,-75.1601,Freedom,South St Zone 1,Primary,N/A
74:54:7D:8C:B9:52,DPC3939B,163 PEDDLERS VLG,,Lahaska,PA,18931,40.3474,-75.0322,Freedom,Peddlers Village,Primary,N/A
74:54:7D:8C:E6:7F,DPC3939B,59 PEDDLERS VILLAGE RD,SPC BUS2,Lahaska,PA,18931,40.34732,-75.03263,Freedom,Peddlers Village,Primary,N/A
74:54:7D:8D:C3:E7,DPC3939B,1223 N MASCHER ST,FL FRNT,Philadelphia,PA,19122,39.96982,-75.13744,Freedom,Fishtown,Secondary,N/A
74:54:7D:8E:34:3F,DPC3939B,301 S 8TH ST,STE 2C UNIT BUS2,Philadelphia,PA,19106,39.94523,-75.15487,Freedom,South St Zone 1,Secondary,N/A
74:54:7D:9A:3D:11,DPC3939B,1217 N HANCOCK ST,OFC,Philadelphia,PA,19122,39.96992,-75.13813,Freedom,Fishtown,Secondary,N/A
